iter	RMSE
0	22797.11684
1	22634.7949
2	22512.41954
3	22403.53922
4	22312.1828
5	22236.10134
6	22131.60347
7	22079.74335
8	22035.30313
9	21980.84209
10	21861.20432
11	21814.65444
12	21742.2288
13	21704.1349
14	21678.70149
15	21657.11004
16	21623.67367
17	21606.56792
18	21583.22049
19	21572.56966
20	21508.04012
21	21483.50476
22	21467.11004
23	21453.93431
24	21406.53478
25	21398.1901
26	21389.30111
27	21362.49055
28	21338.19143
29	21330.85968
30	21316.96021
31	21309.02279
32	21295.79849
33	21276.77231
34	21269.17946
35	21261.14366
36	21244.70182
37	21236.08261
38	21229.08216
39	21224.72077
40	21217.87293
41	21213.14956
42	21208.49333
43	21204.73695
44	21202.01468
45	21197.40957
46	21190.62679
47	21173.74357
48	21169.94975
49	21163.17237
50	21158.81136
51	21154.82275
52	21143.12318
53	21130.30537
54	21121.05774
55	21118.30739
56	21112.67778
57	21107.19778
58	21104.42348
59	21099.96912
60	21063.71169
61	21059.37518
62	21055.97701
63	21049.69601
64	21038.69145
65	21033.62044
66	21031.57301
67	21028.162
68	21023.69514
69	21021.1966
70	21018.42711
71	21015.69658
72	21006.94456
73	21004.19869
74	21002.21447
75	21000.26696
76	20998.22687
77	20994.07216
78	20992.64223
79	20991.39413
80	20986.79212
81	20982.27532
82	20980.18078
83	20952.80408
84	20950.58062
85	20948.27358
86	20942.16963
87	20940.52306
88	20938.74117
89	20933.78327
90	20931.80412
91	20928.91038
92	20925.85713
93	20922.04075
94	20914.8515
95	20910.967
96	20909.91926
97	20902.18773
98	20897.05339
99	20894.29935
100	20891.4136
101	20884.13018
102	20881.28345
103	20873.46318
104	20870.24948
105	20866.84433
106	20865.61507
107	20861.32916
108	20855.05741
109	20852.24034
110	20849.70566
111	20847.57954
112	20845.08037
113	20842.23292
114	20836.88062
115	20835.3201
116	20832.10703
117	20827.60871
118	20823.88765
119	20821.9572
120	20818.32621
121	20815.24469
122	20812.41229
123	20809.4116
124	20807.73876
125	20805.09716
126	20803.24467
127	20800.62866
128	20796.68741
129	20794.31495
130	20792.71448
131	20789.67738
132	20788.70698
133	20786.47979
134	20783.86545
135	20780.41896
136	20778.4964
137	20775.6532
138	20772.60827
139	20770.81438
140	20768.63432
141	20766.61832
142	20763.21267
143	20760.58949
144	20759.72317
145	20757.09748
146	20752.50932
147	20751.832
148	20746.1377
149	20744.57994
150	20741.85404
151	20739.15377
152	20736.88664
153	20734.60203
154	20732.94456
155	20730.04299
156	20728.45624
157	20726.65601
158	20724.33399
159	20721.82969
160	20719.12098
161	20717.58206
162	20715.42986
163	20714.71601
164	20711.92153
165	20709.37283
166	20707.09909
167	20705.35586
168	20703.71304
169	20700.1647
170	20698.81912
171	20696.89514
172	20694.31269
173	20692.19608
174	20690.67806
175	20685.45459
176	20684.90702
177	20683.48477
178	20682.33088
179	20680.20521
180	20678.50029
181	20677.90902
182	20673.30976
183	20671.76356
184	20670.81388
185	20668.88782
186	20666.30563
187	20664.61268
188	20662.77419
189	20661.33548
190	20658.77259
191	20655.84999
192	20654.68724
193	20652.85478
194	20651.54796
195	20650.25526
196	20648.27877
197	20645.94823
198	20644.34676
199	20642.19517
200	20639.68458
201	20638.62067
202	20636.45575
203	20634.49524
204	20634.02907
205	20630.02277
206	20629.54369
207	20628.61613
208	20627.33244
209	20625.33985
210	20623.53563
211	20622.33524
212	20620.89053
213	20619.14652
214	20618.41991
215	20616.72464
216	20614.63457
217	20612.58842
218	20611.34812
219	20609.94922
220	20608.27054
221	20606.81725
222	20605.94958
223	20604.56795
224	20602.91806
225	20601.0237
226	20599.95797
227	20599.02309
228	20597.16862
229	20595.30189
230	20593.96279
231	20593.64166
232	20592.34437
233	20590.36793
234	20583.50778
235	20582.62209
236	20581.28835
237	20577.63407
238	20576.01096
239	20575.20099
240	20574.12136
241	20572.1582
242	20570.61585
243	20568.75605
244	20567.7368
245	20565.95586
246	20563.86743
247	20562.28498
248	20560.83213
249	20559.60638
250	20559.24166
251	20557.7223
252	20556.15899
253	20554.84861
254	20553.90983
255	20552.05537
256	20550.1681
257	20548.83128
258	20547.18052
259	20545.26013
260	20541.33989
261	20535.77535
262	20534.66841
263	20531.12209
264	20530.44007
265	20528.45342
266	20526.65038
267	20526.25174
268	20525.68764
269	20524.48908
270	20523.43308
271	20521.82313
272	20520.52194
273	20518.74578
274	20517.29503
275	20516.40702
276	20515.39762
277	20512.40989
278	20510.88142
279	20509.5338
280	20508.60237
281	20507.21055
282	20506.29905
283	20505.13456
284	20502.78537
285	20501.26593
286	20499.8239
287	20498.79865
288	20497.67741
289	20496.88693
290	20495.59459
291	20494.06002
292	20493.21248
293	20491.10279
294	20489.8984
295	20484.6857
296	20483.44534
297	20482.61427
298	20479.6043
299	20479.02837
300	20476.82916
301	20475.52036
302	20473.96842
303	20473.51457
304	20472.05541
305	20470.48388
306	20470.11044
307	20467.35376
308	20465.35617
309	20463.90056
310	20462.86319
311	20461.83195
312	20460.00122
313	20458.88247
314	20458.11958
315	20456.70945
316	20455.91869
317	20454.43145
318	20454.13748
319	20453.1129
320	20451.90949
321	20450.45988
322	20449.60758
323	20448.44608
324	20446.67896
325	20443.90642
326	20442.95051
327	20441.99387
328	20440.73335
329	20440.04883
330	20438.23818
331	20437.10919
332	20436.38806
333	20435.28664
334	20433.59175
335	20432.21555
336	20430.42544
337	20429.08823
338	20428.17786
339	20427.19534
340	20425.36656
341	20424.55344
342	20423.56541
343	20422.61064
344	20421.52554
345	20421.29706
346	20419.9765
347	20418.31463
348	20416.72651
349	20415.76007
350	20414.3079
351	20412.86543
352	20411.91487
353	20411.23285
354	20410.27541
355	20409.45554
356	20407.8784
357	20407.04041
358	20406.09702
359	20405.66572
360	20404.91679
361	20403.88132
362	20402.62627
363	20400.80433
364	20399.93568
365	20395.27518
366	20393.93313
367	20392.88691
368	20388.99986
369	20387.80549
370	20386.6352
371	20385.99082
372	20384.48225
373	20383.04647
374	20382.72374
375	20381.46561
376	20380.84422
377	20379.98717
378	20378.98078
379	20377.90418
380	20376.18347
381	20375.65252
382	20374.64667
383	20374.10184
384	20373.10907
385	20372.44244
386	20371.60453
387	20370.9372
388	20370.13644
389	20369.23371
390	20368.77058
391	20368.19972
392	20365.56326
393	20364.49689
394	20361.0744
395	20360.24923
396	20359.53023
397	20358.79177
398	20355.79057
399	20355.22356
400	20354.32772
401	20353.87419
402	20352.93
403	20350.48617
404	20349.21597
405	20348.36088
406	20347.59485
407	20346.7506
408	20342.3824
409	20341.67747
410	20340.22902
411	20339.51089
412	20332.52254
413	20332.14527
414	20331.84138
415	20331.02085
416	20329.86645
417	20328.94531
418	20327.98743
419	20326.64228
420	20326.00942
421	20324.97018
422	20323.68713
423	20323.00634
424	20316.88787
425	20316.35396
426	20315.57833
427	20314.92424
428	20314.02458
429	20312.97957
430	20312.45969
431	20308.40671
432	20307.14872
433	20301.77469
434	20296.79747
435	20294.53143
436	20292.62925
437	20290.5225
438	20287.16568
439	20286.49862
440	20283.16143
441	20278.99955
442	20275.06705
443	20272.18395
444	20271.41398
445	20270.22635
446	20269.55473
447	20269.02573
448	20268.42233
449	20265.33761
450	20261.97777
451	20261.3587
452	20260.49798
453	20259.92326
454	20259.40618
455	20256.55491
456	20253.28796
457	20251.5554
458	20251.04941
459	20250.06648
460	20249.60046
461	20246.77569
462	20243.69858
463	20243.09566
464	20240.10947
465	20239.61213
466	20239.16427
467	20236.03483
468	20233.28772
469	20232.5911
470	20231.42634
471	20229.71017
472	20226.69233
473	20225.97257
474	20225.25665
475	20224.85445
476	20224.28467
477	20223.4927
478	20222.89731
479	20219.72416
480	20219.31085
481	20218.42406
482	20217.81213
483	20216.37622
484	20214.6313
485	20212.04238
486	20211.42576
487	20210.48835
488	20209.29269
489	20207.8041
490	20206.1935
491	20205.86976
492	20205.49172
493	20203.74241
494	20201.00749
495	20197.81552
496	20195.10995
497	20192.57052
498	20189.59819
499	20188.05224
500	20185.51108
501	20184.79114
502	20183.92344
503	20183.51006
504	20182.94296
505	20181.36801
506	20178.80856
507	20175.95942
508	20174.35642
509	20171.89843
510	20171.43882
511	20168.90719
512	20166.25232
513	20163.6337
514	20162.92055
515	20162.02016
516	20161.22654
517	20158.73751
518	20156.47218
519	20153.8599
520	20153.26111
521	20151.8821
522	20149.47658
523	20148.91759
524	20146.97177
525	20146.39507
526	20145.2687
527	20144.49801
528	20143.57081
529	20141.40713
530	20139.36912
531	20138.79854
532	20137.85351
533	20137.13397
534	20134.58352
535	20132.30224
536	20129.79772
537	20127.5377
538	20126.24514
539	20123.94277
540	20121.82587
541	20119.69895
542	20117.20911
543	20115.81257
544	20113.6195
545	20111.60589
546	20109.6278
547	20107.21723
548	20106.66382
549	20106.2233
550	20105.10433
551	20102.91247
552	20100.9961
553	20098.87377
554	20096.8732
555	20094.81304
556	20093.24978
557	20092.60186
558	20091.56787
559	20090.12903
560	20089.46761
561	20086.83106
562	20086.42424
563	20085.7613
564	20084.94386
565	20083.09527
566	20082.59996
567	20080.48765
568	20078.28676
569	20076.40694
570	20074.32162
571	20073.90339
572	20073.27137
573	20071.09979
574	20070.60237
575	20068.53821
576	20066.37584
577	20064.69135
578	20064.21999
579	20062.42604
580	20060.66383
581	20059.99036
582	20059.61182
583	20058.51808
584	20057.12082
585	20056.22847
586	20055.07165
587	20053.19484
588	20051.65315
589	20049.49639
590	20048.86368
591	20048.4485
592	20048.31497
593	20046.79698
594	20045.08912
595	20043.14623
596	20041.66526
597	20040.53239
598	20039.68725
599	20038.8923
