iter	Passed	Remaining
0	4	482
1	10	494
2	14	462
3	18	448
4	23	442
5	28	445
6	32	425
7	36	425
8	41	418
9	45	406
10	49	401
11	54	398
12	58	388
13	62	383
14	67	381
15	71	374
16	76	373
17	80	368
18	84	361
19	88	354
20	91	345
21	96	341
22	100	336
23	105	334
24	110	331
25	115	329
26	119	324
27	124	318
28	129	316
29	133	312
30	137	306
31	143	303
32	146	297
33	150	291
34	155	287
35	158	281
36	162	276
37	167	273
38	172	270
39	177	265
40	182	262
41	187	259
42	191	254
43	197	251
44	203	248
45	207	244
46	212	239
47	217	235
48	222	232
49	228	228
50	232	223
51	236	218
52	242	215
53	247	210
54	250	205
55	255	200
56	259	196
57	264	191
58	268	186
59	287	191
60	291	186
61	296	181
62	300	176
63	304	171
64	308	166
65	312	161
66	317	156
67	321	151
68	326	146
69	330	141
70	336	137
71	340	132
72	344	127
73	349	122
74	353	117
75	356	112
76	361	107
77	364	102
78	368	97
79	372	93
80	376	88
81	380	83
82	384	78
83	388	74
84	394	69
85	399	64
86	402	60
87	407	55
88	411	50
89	415	46
90	421	41
91	424	36
92	428	32
93	432	27
94	435	22
95	440	18
96	443	13
97	447	9
98	450	4
99	454	0
